本体,喻体,共性,正确选项,选项A,选项B,选项C,选项D
他的心,荒芜的沙漠,渴望被滋润,选项A,他的心像一片荒芜的沙漠，渴望被爱的甘霖滋润。,每一粒沙都显露出对滋润的渴望，期盼着生命的源泉能降临，让这片干涸之地重新焕发出蓬勃的生机。,他的身体，每一寸肌肤都在渴望着滋润，期盼着甘霖的降临，以重焕生机，恢复往日的活力与繁荣。,荒芜的沙漠干涸而空旷，渴望着雨水的滋润，期盼着生命的奇迹，哪怕是一滴露珠，也能唤起无限的生机与希望。
西风,古老的诗人,低吟着岁月的歌,选项A,古道上的西风，如古老的诗人，低吟着岁月的歌。,北风呼啸低吟着岁月的歌。它穿越千年的时空，带来了历史的沧桑和岁月的沉淀。,古老的诗人轻轻低吟着岁月的歌。他的笔触如秋风般深沉而富有韵律，每一句诗都承载着历史的厚重和时间的流转。,古老的诗人，低吟着岁月交织的悲歌与颂歌。
沙漠,被烤干的饼干,干枯,选项C,烈日下的饼干，随着时间的流逝，逐渐失去了水分，变得干燥而脆弱。,在沙漠的炎热中，水分被烤干，如同被无情的太阳夺去了生机，留下的是一片干燥和寂静。,烈日下的沙漠像是被烤干的饼干。,"饼干在沙漠的炎热中，随着时间的流逝，逐渐失去了原有的酥脆，变得干燥易碎，直至化为尘土。
"
水稻,金色海洋,无边无际,选项B,微风如轻柔的琴师，轻轻地拨动着大地的琴弦，使得海洋随风摆动着她那蓝色的裙摆。,一阵微风吹过，片片水稻随风摆动，犹如金色的海洋。,一阵风，水稻般随风摆动，它们在田野中摇曳，带来清新的气息，让人在风中感受到大自然的温柔与关怀。,微风像是一位灵巧的指挥家，轻轻一挥，金色的海洋便如金色的麦田般在阳光下摆动起来。
塑造品德,建筑师构建大厦,精心设计认真建造,选项B,塑造品德的过程就如同建造一座大厦，每一步都至关重要。,他塑造品德，如同建筑师构建大厦，用精心设计和坚实材料筑起品德的宏伟殿堂。,伟大的品德就像一座宏伟的殿堂，建筑师用智慧和勤奋构建它，我们则需要用真诚和善良去塑造它，让它成为我们灵魂中的瑰宝。,宫殿般的品德，是每个人内心的圣地，需要我们像建筑师构建大厦一般，精心设计、认真建造，才能使其屹立不倒，熠熠生辉。
他的声音,长久未用的旧锁,奇怪而沙哑,选项D,她的声音就像长久未用的锁，奇特而难以打开，隐藏着一种神秘吸引力。,他的声音就像旧锁，透露出岁月的痕迹和经历的。,他的声音，奇特而沙哑，透露出岁月的痕迹和经历的沉淀，仿佛诉说着不为人知的故事。,他的声音里有一种奇怪的沙哑，就像是长久未用的旧锁。
情感,琴弦上的旋律,各种情绪变幻,选项D,情感就像是旋律，悲欢喜乐交织其中，每一个音符都生命的节奏，奏响着心灵的乐章。,感情如同琴弦上的旋律，低沉婉转，每一个音符都承载着深情与哀愁。,感情每一次起伏都深刻地表达着生命的丰富与复杂。,情感就像琴弦上的旋律，或高亢激昂，或低沉婉转，演绎着我们内心的喜怒哀乐。
蝉蜕,一间空屋,寂寞空洞,选项C,树枝上的蝉蜕，就像一间空屋。,树干上凝结的露水，重得仿佛压弯了草叶，就像沉重的思念压弯了心田，让人难以承受其重。,树干上留着一只蝉蜕，寂寞如一间空屋；露水在草叶上滚动，聚集，压弯了草叶轰然坠地摔开万道金光。,孤独的一直蝉蜕，静静地躺在草丛中，它的存在仿佛压弯了周围的草叶，象征着孤独的重量，即使无声也足以影响周围的世界。
漓江的水,翡翠,碧绿无暇,选项D,水如同翠玉般晶莹剔透，展现出大自然的纯净与美丽。,漓江的水清澈见底，静静地流淌着，展示着大自然的纯净美丽。,水如同翡翠般纯净，映射出大自然的宁静与美丽。,漓江的水绿得像一块无暇的翡翠。
文具盒,公共汽车,新颖又别致的,选项C,这个文具盒的设计新颖又别致，就像一个公共创意空间。,文具盒的设计新颖得就像一辆小汽车，装载着知识的乘客。,我的文具盒，奶黄色的，像一辆小小的公共汽车，既新颖又别致。,文具盒的设计新颖得就像一辆大巴车，装载着知识的乘客。
后脊背,平板儿,瘦,选项B,平板儿稳稳地托在后脊背上，就像一座坚固的桥梁，即使在生活的重压下蹲下来，也依然保持着平衡与坚韧，承载着重量。,她浑身都瘦的，刚才蹲下来伏在我的胸前时，我看那块后脊背，平板儿似的。,胸前的肋骨在浑身都瘦的身躯上显得格外突出，仿佛是一幅精雕细琢的艺术品，而脊背则如同山脉般起伏。,他的脊背，像一座历经风霜的平板桥，在生活的重压下蹲下来，却依然坚强地承载着过往的岁月，展现出不屈的姿态。
脸庞的下半部动作,滚烫的蜡烛油,紧张且不稳定,选项D,桌子挺直地站立着，就像一支未经点燃的蜡烛，坚定而沉默，等待着被点亮的那一刻。,直挺挺的站立在桌子上的蜡烛油，像是时间凝固的见证，记录着每一次燃烧的痕迹。,桌子挺直地站立着，宛如一位坚守岗位的哨兵，默默承受着时间的考验。,七巧直挺挺的站了起来，两手扶着桌子，垂着眼皮，脸庞的下半部抖得像嘴里含着滚烫的蜡烛油似的。
笑容,春风,温暖,选项C,她的笑容，温柔地拂过心田，带来了春天的希望和生机。,她的笑容温暖而轻柔，轻轻拂过心田，带走了所有的忧愁。,您的笑容是世界上最和煦的春风。,她的笑容轻柔地拂过，给人心田带来一丝丝的和煦与愉悦。
友谊,风筝的线,紧密相连,选项C,风筝的线就像友谊，连接着彼此，让我们的心灵能够自由地飞翔，不受时空的限制。,连接情谊的线，就像风筝的线，让我们的心灵。,友谊就像风筝的线，虽然看不见，但始终连接着彼此。,友谊不受时空的限制。
藏在微小事务中的幸福,麦芽糖,细微却甜蜜,选项B,微小的事物，尽管看似微不足道，却拥有强大的延展性，展现出惊人的韧性和潜力。,幸福藏在微小的事务里，而且像麦芽糖自有其延展性，拉成丝即使像一条线也还是甜的。,幸福，如同具有延展性的麦芽糖。,微小如麦芽糖，却拥有惊人的延展性，虽不起眼却能延伸出无限的可能性和深远的影响。
恐龙的吼声,洪钟大吕,穿透力强,选项B,恐龙的吼声在森林中回荡，宣告着时间的流逝和历史的变迁。,恐龙的吼声如同洪钟大吕，穿透了森林的深处，令周围生物都深感其威慑力。,大喇叭的声音穿透寂静的空气，将信息传递到每一个角落。,钟表的声音穿透力强，能够清晰地传达时间的节拍，让人警醒。
夜晚的伦敦,沉睡的巨兽,静谧而神秘,选项C,夜晚的伦敦，就像巨人的骨骼，支撑着这座历史与现代交织的城市。,夜晚的伦敦，它的街道和建筑在月光下显得庄严而宁静，诉说着这座城市不为人知的秘密。,夜晚的伦敦就像一头沉睡的巨兽，静谧而神秘,夜晚的伦敦，守护着这座城市的宁静与和平。
民族心理学的研究方法,一个工具箱里装着各种工具,多种多样,选项D,一个工具箱里面的工具多种多样，为探索不同文化背景下的心理现象提供了丰富的工具和手段。,研究方法就像各种工具，多种多样，能够应对不同的研究需求和挑战。,民族心理学中包含了多种多样的研究方法和理论，用以探索和理解不同文化背景下的心理行为。,民族心理学的研究方法多种多样，如同一个工具箱里装着各种工具一样。研究者需要根据研究目的和对象的特点选择合适的研究方法，以便更好地揭示民族心理的奥秘。
月光,纱,覆盖,选项C,阳光温柔地覆盖在世界的每一个角落，为大地披上了一层温暖而明亮的光芒，让一切都显得生机勃勃，充满希望和活力。,阳光轻柔地覆盖在大地之上，将世界装点得温馨而美好，仿佛为万物披上了一层温暖而柔软的外衣。,月光像一层薄薄的纱，轻轻地覆盖在城市的每一个角落。,月光悄然覆盖在夜晚的大地上，营造出一种静谧而神秘的氛围。
月亮,小船,弯,选项C,月亮在夜空中穿梭，有时被遮掩，有时又露出了皎洁的面容。,月亮就像细雨，在夜空中轻轻洒落，为黑暗的世界带来一丝柔和的光芒，同时也带走了些许的寒冷。,弯弯的月亮像一条小船挂在夜空中。,小船就像月饼，在夜空中漂浮，无论何时何地，都能带给人们团圆和美好的寓意。
战略,指南针,指引人找到方向,选项D,在战略的迷雾中穿越，只有凭借着坚定的意志和明智的判断，才能找到正确的方向，引领我们走向成功。,战略就像方向盘，带领我们驶向成功的彼岸。,穿越迷雾，找到正确的方法，战略如同明灯，照亮了前行的道路，让我们能够准确地找到前进的方向。,战略如同指南针，指引我们穿越迷雾，找到正确的方向。
小狗被关在笼子,监犯,失去了自由,选项B,监犯在铁窗之内，如同被关在笼子里的小狗。,小狗被关在笼子里，像一个监犯一样，失去了自由。,小狗在铁笼中徘徊，它的眼神透露出与监犯相同的渴望自由。,在命运的牢笼里，监犯与小狗同样失去了自由。
魔法天赋,星辰,璀璨夺目,选项A,他的魔法天赋如同夜空中最亮的星辰，璀璨夺目，无人能及。,星辰在夜空中闪烁，璀璨夺目，就像拥有魔法天赋的巫师，的光芒和力量，点亮了宇宙的每一个角落。,魔法天赋在施法者手中绽放，宛如夜空中的星星，人们的想象和希望。,星星在夜空中，它们璀璨夺目的光芒，就如同魔法天赋在施展时所散发出的耀眼光辉，令人着迷和赞叹。
月光里的千山万壑,揉皱的牛皮纸,皱巴巴，铺展开,选项D,月光洒落在湖面上，仿佛一张被轻轻揉皱的牛皮纸，那波光粼粼的水面呈现出无数细微的褶皱，闪烁着柔和的光芒。,月光静静地沉浸在千山万壑之间，将每一座山峰、每一条山谷都温柔地照亮，仿佛为这宁静的夜晚披上了一层神秘而美丽的面纱。,手中的牛皮纸经过反复揉皱，如同大自然中的千山万壑，那些沟壑与山脊交织成一幅立体的地图，记录着岁月的痕迹。,千山万壑都浸在月光里，像一张宽大无比的牛皮纸揉皱了，又铺展开。
他棕色的脸憔悴瘦削,干枯的羊皮,亚健康的状态,选项C,他的脸憔悴瘦削，像路边的杂草，仿佛生命力正在悄然流失。,他的脸憔悴瘦削，失去了往日的光泽和弹性，显露出一种枯萎的无奈。,他的脸憔悴瘦削，一身棕色皮肤像干枯的羊皮，紧紧地包着一把嶙峋突兀的骨头,他那曾经饱满的脸庞，显露出岁月的痕迹和生活的艰辛。
披上轻纱的日月潭,仙境,一片朦胧,选项B,日月潭，薄雾轻轻覆盖在湖面上，使得日月潭的景色显得若隐若现，如梦如幻。,日月潭好像披上了轻纱，周围的景物一片朦胧，就像童话中的仙境。,披上轻纱的日月潭在一片模糊中透露出别样的韵味。薄雾缭绕，使得湖水与天空融为一体，仿佛置身于梦幻般的画卷之中。,日月潭，宛如仙境。
穿堂,火车,开到异乡,选项D,火车穿梭在弄堂中，带着一声声鸣笛，开往遥远的异乡，载着希望和梦想，穿越时光的长河。,穿堂而过的火车，就像时间的穿梭机，载着游子远离故乡，驶向未知的未来。,弄堂就像一列载满回忆的火车，带着我们穿越时光，远离了故乡的怀抱，但那份对故乡的思念和眷恋却如同火车的轨迹，始终萦绕在心头。,这穿堂在暗黄的灯照里很像一截火车，从异乡开到异乡。
邻家少妇的眼睛,深秋的湖水,宁静深邃,选项A,邻家少妇的眼睛如同深秋的湖水，宁静而深邃，映照着岁月的沧桑与内心的坚韧。,深秋的湖水在微风的吹拂下波涛汹涌，就像邻家少妇那双充满故事的眼睛，深邃而迷人，藏着不为人知的激情与秘密。,湖水的宁静深邃，宛如邻家少妇那含蓄而迷人的眼睛，在平静的水面下隐藏着情感的波澜，引人探寻。,深秋的湖水如同被岁月磨砺的眼睛，深邃而清明，在风的吹拂下波涛汹涌，恰似内心深处的情感波动。
